node	Country_Full	agg
KX447687	China	China
KY613020	China	China
JQ040584	China	China
JQ040586	China	China
MW055074	VietNam	VietNam
MW055071	VietNam	VietNam
MW055070	VietNam	VietNam
MW055069	VietNam	VietNam
MW055059	VietNam	VietNam
MW055058	VietNam	VietNam
MW055060	VietNam	VietNam
MW055075	VietNam	VietNam
MW055073	VietNam	VietNam
MW055068	VietNam	VietNam
MW055061	VietNam	VietNam
MW055063	VietNam	VietNam
MW055066	VietNam	VietNam
MW055072	VietNam	VietNam
MW055062	VietNam	VietNam
MW055065	VietNam	VietNam
MW055067	VietNam	VietNam
MW055064	VietNam	VietNam
MW055076	VietNam	VietNam
MW055077	VietNam	VietNam
KU845604	China	China
EU159379	China	China
JN974826	China	China
KU845614	China	China
KU845610	China	China
GU815995	China	China
KU055506	China	China
KT894576	China	China
KT221130	China	China
EU086136	China	China
JN974836	China	China
KP319215	China	China
EU086190	China	China
MK124742	China	China
KJ776466	China	China
KU845606	China	China
KU845609	China	China
MF113392	China	China
MF113391	China	China
MF113389	China	China
MF113388	China	China
KY428871	China	China
KP319235	China	China
KF482530	Indonesia	Indonesia
KF482529	Indonesia	Indonesia
KF482532	Indonesia	Indonesia
KF482531	Indonesia	Indonesia
KF482528	Indonesia	Indonesia
JX462619	Indonesia	Indonesia
JX462631	Indonesia	Indonesia
JX462632	Indonesia	Indonesia
JX462628	Indonesia	Indonesia
JQ768454	Indonesia	Indonesia
JQ768453	Indonesia	Indonesia
JQ768455	Indonesia	Indonesia
JX462621	Indonesia	Indonesia
JX462626	Indonesia	Indonesia
JX462620	Indonesia	Indonesia
JX462622	Indonesia	Indonesia
JQ768458	Indonesia	Indonesia
JX462618	Indonesia	Indonesia
JX462629	Indonesia	Indonesia
JX462630	Indonesia	Indonesia
JX462627	Indonesia	Indonesia
JQ768457	Indonesia	Indonesia
JX462624	Indonesia	Indonesia
JX462617	Indonesia	Indonesia
JX462625	Indonesia	Indonesia
