node	British Empire	French Empire	Non-colonial	Portugese Empire	Russian Empire	Spainish Empire
n1720	6.7416616255851635e-12	1.873434497935928e-12	7.338071482571678e-12	1.3799706275371838e-13	1.5690842310706285e-12	0.9999999999823397
n1752	0.00010877031284450931	3.0226087832834523e-05	0.02085556287942366	2.226451655535662e-06	2.5315685089449262e-05	0.9789778985831541
AB683618	0.0	0.0	0.0	0.0	0.0	1.0
n1754	1.8285983641671107e-07	5.0814761234809393e-08	2.001938819139166e-07	3.74301199356639e-09	4.255960944831782e-08	0.999999519828899
KX148262	0.0	0.0	0.0	0.0	0.0	1.0
n1760	2.1934205884374546e-08	6.095277436154292e-09	2.3693935342416274e-08	4.4897773783125573e-10	5.105064372203847e-09	0.9999999427225391
AB683594	0.0	0.0	0.0	0.0	0.0	1.0
n1767	3.989070830460079e-10	1.1085194308968587e-10	4.3091045479532716e-10	8.165346887639177e-12	9.28434039605748e-11	0.9999999989583217
AB563923	0.0	0.0	0.0	0.0	0.0	1.0
GQ472503	1.0	0.0	0.0	0.0	0.0	0.0
JQ972928	1.0	0.0	0.0	0.0	0.0	0.0
AB428320	1.0	0.0	0.0	0.0	0.0	0.0
n18781878	1.0388056123003739e-10	2.8867279000583995e-11	0.9999999998269035	2.1263618857033166e-12	2.4177622608976714e-11	1.4044611195415964e-11
n18801880	8.807376425981015e-15	2.4474741909504097e-15	0.9999999999999851	1.802807890474966e-16	2.04986785671114e-15	1.1907538435478577e-15
KP860156	0.0	0.0	1.0	0.0	0.0	0.0
KP860154	0.0	0.0	1.0	0.0	0.0	0.0
KP860164	0.0	0.0	1.0	0.0	0.0	0.0
KP860165	0.0	0.0	1.0	0.0	0.0	0.0
n18811881	1.5914420294895417e-16	4.4224444433639e-17	0.9999999999999998	3.257569688441773e-18	3.703992771838847e-17	2.1516233912838547e-17
n18821882	2.55557431303886e-15	7.101663278257974e-16	0.9999999999999958	5.231080532280555e-17	5.947957015078425e-16	3.455126462798194e-16
n18831883	2.8222864884329443e-08	7.842827427622184e-09	0.9999999529721704	5.777021560607433e-10	6.5687147627784615e-09	3.815720279402486e-09
n1884	0.0	0.0	1.0	0.0	0.0	0.0
MH481058	0.0	0.0	1.0	0.0	0.0	0.0
n1885	0.0	0.0	1.0	0.0	0.0	0.0
KP860203	0.0	0.0	1.0	0.0	0.0	0.0
KP860198	0.0	0.0	1.0	0.0	0.0	0.0
MH481067	0.0	0.0	1.0	0.0	0.0	0.0
KP860214	0.0	0.0	1.0	0.0	0.0	0.0
KP860213	0.0	0.0	1.0	0.0	0.0	0.0
n18871887	8.602074658265443e-08	2.3904230609046776e-08	0.9999998566634173	1.7607840653464896e-09	2.0020850126255075e-08	1.162997124955322e-08
n18881888	0.0	0.0	1.0	0.0	0.0	0.0
n1889	2.676251842642331e-07	7.437013017893124e-08	0.999999554055494	5.47809893146057e-09	6.228827250432204e-08	3.618282010211041e-08
KP860157	0.0	0.0	1.0	0.0	0.0	0.0
KP860207	0.0	0.0	1.0	0.0	0.0	0.0
KP860159	0.0	0.0	1.0	0.0	0.0	0.0
KP860152	0.0	0.0	1.0	0.0	0.0	0.0
n18911891	0.00010580043171594115	2.9400787795549078e-05	0.9998237044815469	2.165660097294307e-06	2.4624459685154396e-05	1.430417915914701e-05
KP860148	0.0	0.0	1.0	0.0	0.0	0.0
n18951895	9.700251727519099e-06	2.695594518666312e-06	0.9999838364465872	1.9855731610865572e-07	2.257679601669307e-06	1.3114702487507307e-06
n18961896	7.0296377302515195e-06	1.953459923192334e-06	0.9999882864972809	1.4389173032920995e-07	1.6361090630155401e-06	9.504042723979483e-07
n1898	1.9446009444020256e-06	5.403834361321738e-07	0.9999967597066736	3.980460845204356e-08	4.525950204930207e-07	2.6290931697958383e-07
n1900	4.251324032292239e-06	1.1813967239955148e-06	0.9999929160082797	8.702160542142973e-08	9.894719938512412e-07	5.747773646381404e-07
n1901	0.0	0.0	1.0	0.0	0.0	0.0
n19011901	6.129019482705206e-07	1.7031877207114095e-07	0.9999989787199874	1.2545669537048218e-08	1.4264950170243848e-07	8.286412080419668e-08
n1904	0.0	0.0	1.0	0.0	0.0	0.0
KP860196	0.0	0.0	1.0	0.0	0.0	0.0
KP860224	0.0	0.0	1.0	0.0	0.0	0.0
KP860191	0.0	0.0	1.0	0.0	0.0	0.0
KP860223	0.0	0.0	1.0	0.0	0.0	0.0
KF501178	0.0	0.0	1.0	0.0	0.0	0.0
MH481064	0.0	0.0	1.0	0.0	0.0	0.0
KP860195	0.0	0.0	1.0	0.0	0.0	0.0
KP860192	0.0	0.0	1.0	0.0	0.0	0.0
KP860190	0.0	0.0	1.0	0.0	0.0	0.0
MH481068	0.0	0.0	1.0	0.0	0.0	0.0
KP860186	0.0	0.0	1.0	0.0	0.0	0.0
MH481060	0.0	0.0	1.0	0.0	0.0	0.0
KP860225	0.0	0.0	1.0	0.0	0.0	0.0
KP860220	0.0	0.0	1.0	0.0	0.0	0.0
KP860226	0.0	0.0	1.0	0.0	0.0	0.0
n1926	1.8282364423192945e-19	0.9999999999999942	5.854808481979913e-15	2.0665632946895014e-22	2.3497687657263472e-21	1.3649641756567625e-21
n19781978	3.589040044028674e-05	0.9920415782306733	0.007908591058608362	7.346512051576631e-07	8.353290992919063e-06	4.852368079986745e-06
n1985	3.6942758799041294e-05	0.9996743424471202	0.0002743657339670339	7.56192229251498e-07	8.598221432395667e-06	4.994646452379492e-06
EU293107	0.0	0.0	1.0	0.0	0.0	0.0
n19861986	1.912856984236558e-05	0.8384369475399888	0.16153649409862272	3.915483374867647e-07	4.452068107774625e-06	2.5861751008794288e-06
KY678623	0.0	0.0	1.0	0.0	0.0	0.0
KM366257	0.0	1.0	0.0	0.0	0.0	0.0
KM366260	0.0	1.0	0.0	0.0	0.0	0.0
KM366242	0.0	1.0	0.0	0.0	0.0	0.0
KM366299	0.0	1.0	0.0	0.0	0.0	0.0
KM366217	0.0	1.0	0.0	0.0	0.0	0.0
n19911991	1.629376742843549e-05	0.00021117236523791346	0.9997662051507558	3.335219351863599e-07	3.792283681798701e-06	2.202910960897194e-06
EU086206	0.0	0.0	1.0	0.0	0.0	0.0
GQ303556	0.0	0.0	1.0	0.0	0.0	0.0
GQ303555	0.0	0.0	1.0	0.0	0.0	0.0
KX148256	0.0	1.0	0.0	0.0	0.0	0.0
KX148257	0.0	1.0	0.0	0.0	0.0	0.0
